	predicted_sample1	predicted_sample2	predicted_sample3	predicted_sample4	predicted_sample5	predicted_sample6	predicted_sample7	predicted_sample8	predicted_sample9	predicted_sample10	predicted_sample11	predicted_sample12	predicted_sample13	predicted_sample14	predicted_sample15	predicted_sample16	predicted_sample17	predicted_sample18	predicted_sample19	predicted_sample20
GCA_001411705.1	0	0.288395389987388	0	0	0.13639467036194	0.207719213018295	0	0.0835104250415598	0.2201989483348	0	0.0190823275259356	0.155537808209771	0.0838501833562487	0	0.263811400100128	0.068016107066088	0.10090843669363	0.028452622501683	0	0.0903556866705749
GCA_002902425.1	0.1919150691326	0.187763852471983	0	0	0	0.313872737785249	0	0.051101453963091	0.0660118245410519	0.0682408553195973	0.0560262276935963	0.227697726257941	0	0.0472954170792876	0.0756018256965629	0.067237538057307	0.0350313271578988	0.0903394150722908	0.0483267864984969	0.0128883852326369
GCA_900457985.1	0.138115390377871	0.00682645040740445	0.0369570751770887	0.119195556552086	0.0563397498764612	0	0.0570387757914073	0.169129453245857	0.217477980065163	0.158300261224031	0.114521516452416	0.0846917821162271	0.15450298530672	0.0679145880225053	0.104433817406282	0.0586345221464913	0.174434305409021	0.00959944755000682	0.227722287433043	0.0774791696411854
GCF_000683335.1	0	0.0931173005047257	0.125409335723983	0	0	0.0203224280038847	0	0	0	0	0	0.0313984923021026	0	0	0.123881582028172	0.156196252255256	0.053572182894723	0	0.120728016889763	0.027791757235898
GCF_000878105.1	0	0.00907764054055338	0	0	0	0.0104240391669338	0	0	0	0	0.0339214951580682	0	0.0461186698337592	0.0141606671242813	0	0.0131245132010362	0.0155351113869881	0	0.0490670757179226	0
GCF_001899935.1	0.00672766713153461	0.00207844746902331	0.0849547383262931	0.170950251892014	0.026797742116365	0.291135492198788	0.166521497129254	0.174895090902528	0.0337439829030766	0	0	0.0906623417914304	0.148908125794388	0.0988281950242393	0.135119342592452	0	0.283625591565181	0.0689155246916379	0.38780486411294	0.0171197600570495
GCF_003075775.1	0.0196215866525288	0.0899333231238795	0	0.0101319790840248	0.00582650260623806	0.0128349904194086	0.39813377079984	0.232769815491906	0	0.565212984049821	0.179092200845463	0.0951423553638412	0.148051689790986	0.175771242748924	0.04291966603688	0.126731435240606	0.0929553563480389	0.0747719581599396	0	0.0212689842189294
GCF_005861575.1	0.106829675580582	0.0530517817538625	0	0.0405082790421439	0	0	0.0885505561122308	0	0.151523050086511	0	0.199526115171541	0.0934685861065819	0	0.12356066679207	0	0	0	0.211125385833948	0	0.084550232491858
GCF_008123625.1	0	0.127586104818265	0.211619791782266	0.333824797517524	0.0873255878160079	0.0162714983572849	0	0.0323763839286136	0	0	0	0.152257264141954	0	0.245885484844872	0.0580035337786275	0	0.0755144541109984	0	0.00182860463844231	0.126810298398813
GCF_008762635.1	0.0619852615854007	0.00563885763609873	0	0.0225554578624458	0.232112590049053	0	0.136375664609018	0	0.0132096550461725	0	0.316208571905621	0	0.253378886091931	0	0.020492177007023	0.0238593765710523	0	0.0195225755206739	0.0334992888952423	0
GCF_009912675.1	0	0.0284802855002294	0.125141764053233	0.0635492131038449	0.0496468144794523	0	0	0.0310272440652788	0.0285266614343728	0.0564644229565968	0.0436853796857514	0.02667540843838	0	0.0298472892251063	0.0571735985609455	0.067229196758684	0.0874532186544114	0.273562138639022	0.000331157695906714	0.113088608819346
GCF_900038495.1	0.043332842526064	0.0526286141697844	0.0772302042222489	0.061035083550718	0.126660695225327	0	0.0217123195174066	0.0631426211040348	0.188052215070522	0.0941881574555974	0	0.042468235271772	0.165189459825968	0.0122097632794189	0.0279292404341202	0.321229397933948	0	0.166486513235782	0.0305910873716293	0.354965579981982
GCF_900125535.1	0	0.033970291257788	0	0.1072789784798	0.204805553829382	0.0493014687489375	0	0	0	0	0.0379361655616068	0	0	0.0650602763581479	0	0.0977416607695312	0	0.0572244187950159	0.100100830746614	0.0736815372517271
GCF_900155805.1	0.431472507013419	0.0214516603590152	0.338687090714887	0.0709704029154	0.0740900936397733	0.0781181323012187	0.131667416040844	0.162047512257131	0.0812556825183301	0.0575933189943564	0	0	0	0.119466409501148	0.090633816358807	0	0.0809700157791087	0	0	0
